iter	Passed	Remaining
0	56	2777
1	103	2481
2	149	2341
3	197	2275
4	248	2232
5	296	2176
6	347	2135
7	396	2079
8	451	2058
9	499	1997
10	553	1963
11	601	1906
12	649	1847
13	703	1809
14	752	1756
15	802	1705
16	853	1657
17	906	1611
18	956	1560
19	1005	1508
20	1057	1460
21	1108	1410
22	1157	1359
23	1206	1306
24	1261	1261
25	1312	1211
26	1361	1159
27	1409	1107
28	1459	1057
29	1511	1007
30	1565	959
31	1613	907
32	1662	856
33	1721	810
34	1776	761
35	1827	710
36	1879	660
37	1926	608
38	1977	557
39	2030	507
40	2079	456
41	2126	405
42	2180	355
43	2229	303
44	2278	253
45	2324	202
46	2376	151
47	2433	101
48	2489	50
49	2542	0
